Method,num_features1_mean,num_features1_std,num_features1_min,num_features1_max,num_features1_median,num_features2_mean,num_features2_std,num_features2_min,num_features2_max,num_features2_median,num_matches_mean,num_matches_std,num_matches_min,num_matches_max,num_matches_median,matching_efficiency_mean,matching_efficiency_std,matching_efficiency_min,matching_efficiency_max,matching_efficiency_median,avg_matching_distance_mean,avg_matching_distance_std,avg_matching_distance_min,avg_matching_distance_max,avg_matching_distance_median,spatial_entropy1_mean,spatial_entropy1_std,spatial_entropy1_min,spatial_entropy1_max,spatial_entropy1_median,spatial_entropy2_mean,spatial_entropy2_std,spatial_entropy2_min,spatial_entropy2_max,spatial_entropy2_median,detection_time_mean,detection_time_std,detection_time_min,detection_time_max,detection_time_median,matching_time_mean,matching_time_std,matching_time_min,matching_time_max,matching_time_median,total_time_mean,total_time_std,total_time_min,total_time_max,total_time_median
SIFT,4959.72,1770.244175700064,1001,7715,5454.0,4999.92,1879.7067839426445,1338,8846,5342.0,1456.28,618.3522310140071,317,3191,1494.0,32.817446471423594,6.758741214997675,21.454219030520647,59.73418195432423,32.01950426655831,219.58130142274388,37.45224928738678,127.16284630732714,262.37122323115665,237.3158889886954,5.762281269536746,0.24519675629247914,4.902204373042945,5.972045173148995,5.864747753433581,5.676550280588335,0.3235812208360912,4.66529057436272,5.962265198994275,5.776334947805775,0.15152844429016113,0.0249534129123628,0.09865212440490723,0.18693995475769043,0.14899134635925293,0.2718231678009033,0.15158349969961152,0.014185190200805664,0.5375547409057617,0.28060483932495117,0.4233516120910645,0.171519583621209,0.1305253505706787,0.7084612846374512,0.4395020008087158
SuperPoint,2430.04,114.62826178565216,2283,2717,2415.0,2438.2,97.69257904262739,2326,2668,2404.0,601.96,193.98360343080546,373,1393,578.0,25.018286596230208,7.864390235119132,15.858843537414966,57.68115942028985,23.915843709746675,0.7328593936730254,0.08735754237191505,0.45333772685916324,0.8415085053743537,0.7428988547070877,5.992009372829916,0.002457769329218438,5.985093945720606,5.996080687652172,5.9921974644983385,5.991622692437017,0.0025113817254530744,5.986013951874065,5.994585141355949,5.992111821660964,0.6603767108917237,0.029653847527728483,0.6014065742492676,0.7341353893280029,0.6602208614349365,0.10610395431518554,0.008190011733502357,0.09480547904968262,0.126861572265625,0.10263895988464355,0.7664806652069092,0.030810296920137103,0.7023537158966064,0.8431158065795898,0.7698488235473633
D2-Net,2000.0,0.0,2000,2000,2000.0,2000.0,0.0,2000,2000,2000.0,355.12,154.50445171580012,128,964,349.0,17.756,7.725222585790004,6.4,48.199999999999996,17.45,0.0022992927496311493,0.0002987435397364268,0.0016562709663569526,0.0030234087620992466,0.0022880749097160193,5.9864512053909085,0.004037914699673399,5.974245832461846,5.9932897448925075,5.986592133063761,5.98673855658771,0.004236610337715137,5.9776084896096755,5.993711050843364,5.988438641136152,1.3242348480224608,0.02429063359623942,1.2613229751586914,1.3834452629089355,1.3270504474639893,0.14901368141174318,0.005735873806860105,0.1375901699066162,0.16823554039001465,0.14940452575683594,1.4732485294342041,0.028442254650553476,1.4080231189727783,1.5516808032989502,1.474449634552002
