num_features1,num_features2,num_matches,matching_efficiency,avg_matching_distance,spatial_entropy1,spatial_entropy2,detection_time,matching_time,total_time,pair_name,method
1385,1580,492,35.52346570397112,227.423922472853,5.516263839368521,5.6053770083693975,0.0880739688873291,0.020626068115234375,0.10870003700256348,pair_001_img1_pair_001_img2,SIFT
2075,1832,764,41.70305676855895,222.69461255298236,5.3735889038157145,5.346993707353528,0.09241867065429688,0.03700661659240723,0.1294252872467041,pair_002_img1_pair_002_img2,SIFT
773,773,257,33.247089262613194,246.03290940815373,5.199973870636195,5.232525900597269,0.10680532455444336,0.00667262077331543,0.11347794532775879,pair_003_img1_pair_003_img2,SIFT
1242,1293,664,53.4621578099839,151.7792993868331,4.995752253369118,4.999625958097913,0.11611747741699219,0.01753854751586914,0.13365602493286133,pair_004_img1_pair_004_img2,SIFT
1173,2003,510,43.47826086956522,216.36656234591615,5.188793481054535,5.427802636835223,0.09212398529052734,0.024003267288208008,0.11612725257873535,pair_005_img1_pair_005_img2,SIFT
613,567,240,42.32804232804233,194.03830850919087,5.28770445465885,5.316622577290919,0.08493399620056152,0.003476858139038086,0.08841085433959961,pair_006_img1_pair_006_img2,SIFT
658,611,232,37.97054009819967,207.97194025434297,5.2431655226465725,5.287063008921594,0.0891728401184082,0.004115581512451172,0.09328842163085938,pair_007_img1_pair_007_img2,SIFT
675,635,249,39.21259842519685,212.86622469492227,5.391037154237414,5.2624646873418435,0.10632658004760742,0.005058765411376953,0.11138534545898438,pair_008_img1_pair_008_img2,SIFT
770,712,245,34.41011235955056,235.2851551133759,5.431107128134126,5.4493905707888475,0.108245849609375,0.005940914154052734,0.11418676376342773,pair_009_img1_pair_009_img2,SIFT
1267,1171,413,35.269000853970965,222.68885934612652,4.900176966781137,5.127025379836859,0.12335062026977539,0.016022920608520508,0.1393735408782959,pair_010_img1_pair_010_img2,SIFT
761,728,499,68.54395604395604,101.85321193157074,4.854060181216047,4.85763578815543,0.08565187454223633,0.004773378372192383,0.09042525291442871,pair_011_img1_pair_011_img2,SIFT
866,1091,322,37.1824480369515,254.6681334691018,5.172508994570928,5.300707233726615,0.09022283554077148,0.008426427841186523,0.09864926338195801,pair_012_img1_pair_012_img2,SIFT
767,737,290,39.348710990502035,213.26870173092547,5.2427081191170695,5.03597095141761,0.11026477813720703,0.005816221237182617,0.11608099937438965,pair_013_img1_pair_013_img2,SIFT
2489,2317,838,36.16745791972378,234.1872632549031,5.129641397100286,5.103873233766842,0.1222381591796875,0.05985116958618164,0.18208932876586914,pair_014_img1_pair_014_img2,SIFT
636,892,240,37.735849056603776,249.75951280593873,5.03795119424462,5.426970176358244,0.08741116523742676,0.0054514408111572266,0.09286260604858398,pair_015_img1_pair_015_img2,SIFT
665,633,216,34.12322274881517,257.1656315061781,4.941806126649734,4.905501221105537,0.08794879913330078,0.004599094390869141,0.09254789352416992,pair_016_img1_pair_016_img2,SIFT
1044,1505,477,45.689655172413794,208.07848502505,4.775036325068426,5.054007962465142,0.09954428672790527,0.015166282653808594,0.11471056938171387,pair_017_img1_pair_017_img2,SIFT
813,776,289,37.24226804123711,226.95899464432344,5.250464554654205,5.119806111978558,0.0879507064819336,0.006150245666503906,0.0941009521484375,pair_018_img1_pair_018_img2,SIFT
433,351,204,58.119658119658126,153.08253172332167,4.39839442790484,4.597926840434429,0.10866785049438477,0.00283050537109375,0.11149835586547852,pair_019_img1_pair_019_img2,SIFT
386,386,152,39.37823834196891,186.8030814873545,4.460653334826494,5.009994767354117,0.11188578605651855,0.002126455307006836,0.11401224136352539,pair_020_img1_pair_020_img2,SIFT
619,527,273,51.802656546489565,170.39696460765796,4.910492164181638,4.8665271657453095,0.08286333084106445,0.0029916763305664062,0.08585500717163086,pair_021_img1_pair_021_img2,SIFT
401,381,171,44.881889763779526,193.36425049541987,4.420523425005496,4.422539772898474,0.11095118522644043,0.00240325927734375,0.11335444450378418,pair_022_img1_pair_022_img2,SIFT
514,383,139,36.29242819843342,269.8242373569406,4.530293762667757,4.127307725395155,0.10889959335327148,0.004553079605102539,0.11345267295837402,pair_023_img1_pair_023_img2,SIFT
289,390,105,36.332179930795846,261.5470873151507,4.801705664619798,4.440433003807342,0.08305144309997559,0.0015316009521484375,0.08458304405212402,pair_024_img1_pair_024_img2,SIFT
329,434,118,35.86626139817629,273.16021547479147,4.536203826474045,4.396342914258074,0.10295510292053223,0.002145528793334961,0.10510063171386719,pair_025_img1_pair_025_img2,SIFT
2410,2434,796,33.02904564315352,0.7135172185848406,5.9914402628774495,5.989984134622882,0.656785249710083,0.10853099822998047,0.7653162479400635,pair_001_img1_pair_001_img2,SuperPoint
2424,2462,952,39.273927392739274,0.6040326673694018,5.987664318436029,5.988830290986214,0.6395108699798584,0.11362195014953613,0.7531328201293945,pair_002_img1_pair_002_img2,SuperPoint
2484,2516,904,36.39291465378422,0.6497876703496034,5.984326484237901,5.979184513869756,0.6908957958221436,0.1050724983215332,0.7959682941436768,pair_003_img1_pair_003_img2,SuperPoint
2645,2732,1298,49.07372400756144,0.4104075540176298,5.983288660027935,5.9847499037562555,0.6698813438415527,0.12100028991699219,0.7908816337585449,pair_004_img1_pair_004_img2,SuperPoint
2559,2473,779,31.500202183582694,0.6877635366956444,5.98963177486332,5.991069959577103,0.644033670425415,0.11797308921813965,0.7620067596435547,pair_005_img1_pair_005_img2,SuperPoint
2438,2473,1199,49.17965545529122,0.5880497190681868,5.988795985260603,5.987505154253163,0.6538808345794678,0.12082839012145996,0.7747092247009277,pair_006_img1_pair_006_img2,SuperPoint
2383,2373,1073,45.21702486304256,0.6159939237237532,5.992486062005084,5.9908876939823195,0.6464483737945557,0.11082077026367188,0.7572691440582275,pair_007_img1_pair_007_img2,SuperPoint
2409,2425,1068,44.333748443337484,0.6185911632306902,5.987999850665,5.989881368221362,0.6953763961791992,0.11100482940673828,0.8063812255859375,pair_008_img1_pair_008_img2,SuperPoint
2444,2386,1015,42.53981559094719,0.6454542871693085,5.987197078299295,5.991079588365713,0.6759207248687744,0.10978388786315918,0.7857046127319336,pair_009_img1_pair_009_img2,SuperPoint
2530,2587,875,34.58498023715415,0.5877103850798947,5.983677758239291,5.984556409327304,0.664231538772583,0.12383151054382324,0.7880630493164062,pair_010_img1_pair_010_img2,SuperPoint
2396,2408,1720,71.78631051752922,0.22588198243243549,5.991729924250377,5.9898522419333196,0.7121195793151855,0.1085655689239502,0.8206851482391357,pair_011_img1_pair_011_img2,SuperPoint
2432,2428,933,38.42668863261944,0.7038278238167078,5.991017766697957,5.990584967278007,0.6974928379058838,0.11385416984558105,0.8113470077514648,pair_012_img1_pair_012_img2,SuperPoint
2489,2384,1063,44.58892617449665,0.6289233897978252,5.985433675977845,5.992581143644133,0.7230288982391357,0.12125229835510254,0.8442811965942383,pair_013_img1_pair_013_img2,SuperPoint
2753,2793,1073,38.975662913185616,0.46485969277088446,5.974836430067305,5.971618429074824,0.7004272937774658,0.15121030807495117,0.851637601852417,pair_014_img1_pair_014_img2,SuperPoint
2363,2374,958,40.54168429961913,0.6853812333655258,5.992873207194353,5.991363657093747,0.6688809394836426,0.10853266716003418,0.7774136066436768,pair_015_img1_pair_015_img2,SuperPoint
2344,2404,983,41.936860068259385,0.7179311679132351,5.992415005857525,5.992452753811678,0.6926202774047852,0.1101226806640625,0.8027429580688477,pair_016_img1_pair_016_img2,SuperPoint
2727,2630,794,30.190114068441066,0.5537064348767401,5.975265422604143,5.980543085010503,0.6622533798217773,0.14024758338928223,0.8025009632110596,pair_017_img1_pair_017_img2,SuperPoint
2356,2402,940,39.898132427843805,0.6630771655034512,5.993877190309084,5.993421852328254,0.6664564609527588,0.11209893226623535,0.7785553932189941,pair_018_img1_pair_018_img2,SuperPoint
2314,2337,1451,62.70527225583405,0.3959744946298149,5.990464541407223,5.990658685247888,0.688652515411377,0.10818362236022949,0.7968361377716064,pair_019_img1_pair_019_img2,SuperPoint
2305,2399,994,43.1236442516269,0.608208919150129,5.991180650447953,5.992004780802731,0.6427185535430908,0.10631942749023438,0.7490379810333252,pair_020_img1_pair_020_img2,SuperPoint
2401,2435,1107,46.1057892544773,0.5711182200542526,5.989964902995028,5.988973263265495,0.6876511573791504,0.10217857360839844,0.7898297309875488,pair_021_img1_pair_021_img2,SuperPoint
2426,2427,1181,48.68095630667766,0.5128045966004942,5.991285388947872,5.990441330360042,0.7112109661102295,0.1128692626953125,0.824080228805542,pair_022_img1_pair_022_img2,SuperPoint
2388,2394,741,31.030150753768844,0.7955006959065091,5.988352559926562,5.987044740609671,0.6824779510498047,0.1095893383026123,0.792067289352417,pair_023_img1_pair_023_img2,SuperPoint
2389,2385,845,35.42976939203354,0.7108854897805219,5.990301380293428,5.988212283988359,0.6865949630737305,0.10955810546875,0.7961530685424805,pair_024_img1_pair_024_img2,SuperPoint
2385,2336,695,29.75171232876712,0.7985756341073152,5.9924631476335986,5.990628425335224,0.825336217880249,0.10949063301086426,0.9348268508911133,pair_025_img1_pair_025_img2,SuperPoint
2000,2000,521,26.05,0.001400064976110334,5.97709305584935,5.978404578254146,1.3424615859985352,0.15086126327514648,1.4933228492736816,pair_001_img1_pair_001_img2,D2-Net
2000,2000,565,28.249999999999996,0.0015628179909498636,5.961774316023995,5.971085578830116,1.3357658386230469,0.15919256210327148,1.4949584007263184,pair_002_img1_pair_002_img2,D2-Net
2000,2000,527,26.35,0.0013226409134837267,5.987173151875969,5.981277973195545,1.3878657817840576,0.1559457778930664,1.543811559677124,pair_003_img1_pair_003_img2,D2-Net
2000,2000,1058,52.900000000000006,0.0010008667522984859,5.966448828923565,5.96404574942072,1.3529136180877686,0.15466666221618652,1.507580280303955,pair_004_img1_pair_004_img2,D2-Net
2000,2000,426,21.3,0.001991554374296651,5.955062373157284,5.954761441788953,1.3719308376312256,0.154738187789917,1.5266690254211426,pair_005_img1_pair_005_img2,D2-Net
2000,2000,1002,50.1,0.0009145543007804179,5.971090042894563,5.972208464514479,1.4009816646575928,0.15598607063293457,1.5569677352905273,pair_006_img1_pair_006_img2,D2-Net
2000,2000,742,37.1,0.001114089753580119,5.960450256281125,5.968114632614392,1.4017937183380127,0.1570909023284912,1.558884620666504,pair_007_img1_pair_007_img2,D2-Net
2000,2000,831,41.55,0.0008531412916199419,5.969729768529585,5.955228550564241,1.390737771987915,0.15740036964416504,1.54813814163208,pair_008_img1_pair_008_img2,D2-Net
2000,2000,690,34.5,0.0010316471509160719,5.981823105010205,5.974064634101755,1.402740240097046,0.1550915241241455,1.5578317642211914,pair_009_img1_pair_009_img2,D2-Net
2000,2000,615,30.75,0.001260327047961018,5.975595311638109,5.963843179760722,1.388704538345337,0.1572575569152832,1.5459620952606201,pair_010_img1_pair_010_img2,D2-Net
2000,2000,1619,80.95,0.0003626552538363984,5.969794273633129,5.9687650657155995,1.4093329906463623,0.15744471549987793,1.5667777061462402,pair_011_img1_pair_011_img2,D2-Net
2000,2000,667,33.35,0.0014083346749180815,5.974448651695644,5.979020954690311,1.4056918621063232,0.16041970252990723,1.5661115646362305,pair_012_img1_pair_012_img2,D2-Net
2000,2000,722,36.1,0.0012155220626313534,5.978513845009531,5.98739330415176,1.3965933322906494,0.15720915794372559,1.553802490234375,pair_013_img1_pair_013_img2,D2-Net
2000,2000,689,34.449999999999996,0.0010560611394584904,5.973658004831201,5.96889702616979,1.419145107269287,0.15934181213378906,1.5784869194030762,pair_014_img1_pair_014_img2,D2-Net
2000,2000,604,30.2,0.0010759727431151674,5.985415929463048,5.980867704459165,1.4214487075805664,0.15526509284973145,1.5767138004302979,pair_015_img1_pair_015_img2,D2-Net
2000,2000,491,24.55,0.001476045885531596,5.983320268918417,5.979197454423753,1.4150209426879883,0.16002249717712402,1.5750434398651123,pair_016_img1_pair_016_img2,D2-Net
2000,2000,553,27.650000000000002,0.0013579185648781454,5.970514396955115,5.979125428630424,1.4394140243530273,0.1621105670928955,1.6015245914459229,pair_017_img1_pair_017_img2,D2-Net
2000,2000,614,30.7,0.0010196277562677495,5.985300222742764,5.979855311056487,1.4535510540008545,0.16033697128295898,1.6138880252838135,pair_018_img1_pair_018_img2,D2-Net
2000,2000,1456,72.8,0.0003420043087721801,5.952725850190878,5.955425165185869,1.4410972595214844,0.15389609336853027,1.5949933528900146,pair_019_img1_pair_019_img2,D2-Net
2000,2000,875,43.75,0.0006755964378660013,5.95074200158108,5.959466578692175,1.4728341102600098,0.16036438941955566,1.6331984996795654,pair_020_img1_pair_020_img2,D2-Net
2000,2000,1118,55.900000000000006,0.0007182004736117739,5.94441768034172,5.9265625577675465,1.4356133937835693,0.1581568717956543,1.5937702655792236,pair_021_img1_pair_021_img2,D2-Net
2000,2000,1210,60.5,0.0004512521828586584,5.890517502090833,5.866816431969952,1.4181678295135498,0.16156315803527832,1.5797309875488281,pair_022_img1_pair_022_img2,D2-Net
2000,2000,251,12.55,0.0011864371749489434,5.922177114201228,5.8808380382826355,1.4291481971740723,0.161668062210083,1.5908162593841553,pair_023_img1_pair_023_img2,D2-Net
2000,2000,428,21.4,0.0007974558910182933,5.9749029647947705,5.958367297609051,1.3924076557159424,0.16019392013549805,1.5526015758514404,pair_024_img1_pair_024_img2,D2-Net
2000,2000,265,13.25,0.0009764355191640239,5.964834252722273,5.958107203771551,1.5591216087341309,0.16883254051208496,1.7279541492462158,pair_025_img1_pair_025_img2,D2-Net
