num_features1,num_features2,num_matches,matching_efficiency,avg_matching_distance,spatial_entropy1,spatial_entropy2,detection_time,matching_time,total_time,pair_name,method
5623,5849,1864,33.149564289525166,256.77096682454385,5.956814324746834,5.943186260153463,0.12764620780944824,0.3202784061431885,0.4479246139526367,pair_001_img1_pair_001_img2,SIFT
6166,3672,1055,28.730936819172115,162.0139513060945,5.864747753433581,5.0186922049966025,0.1415712833404541,0.21809911727905273,0.35967040061950684,pair_002_img1_pair_002_img2,SIFT
6443,4456,956,21.454219030520647,206.1563975801029,5.815925744318831,5.72677039442754,0.1592705249786377,0.2802314758300781,0.4395020008087158,pair_003_img1_pair_003_img2,SIFT
7243,7727,2183,30.13944498136131,188.30492019129085,5.933342975036667,5.960677355415962,0.17090654373168945,0.5375547409057617,0.7084612846374512,pair_004_img1_pair_004_img2,SIFT
3529,3263,920,28.19491265706405,261.44084211432414,5.856615954179939,5.776334947805775,0.14669060707092285,0.10532164573669434,0.2520122528076172,pair_005_img1_pair_005_img2,SIFT
7715,6664,1906,28.60144057623049,229.77402671261575,5.972045173148995,5.825840009708778,0.1855635643005371,0.5082871913909912,0.6938507556915283,pair_006_img1_pair_006_img2,SIFT
5484,5342,3191,59.73418195432423,127.16284630732714,5.942800382255513,5.901837119591133,0.17293763160705566,0.28060483932495117,0.45354247093200684,pair_007_img1_pair_007_img2,SIFT
4031,5366,1383,34.309104440585465,248.35966363163504,5.8884840626493515,5.9404750508946,0.16273903846740723,0.21303796768188477,0.375777006149292,pair_008_img1_pair_008_img2,SIFT
5736,8846,1793,31.258716875871688,243.58013255624084,5.902718954613488,5.934340898091685,0.16758036613464355,0.5130884647369385,0.680668830871582,pair_009_img1_pair_009_img2,SIFT
6686,5758,1728,30.01042028482112,237.92091651316042,5.949492839898745,5.874758362642618,0.17601490020751953,0.3831477165222168,0.5591626167297363,pair_010_img1_pair_010_img2,SIFT
2461,3786,788,32.01950426655831,237.24708489355098,5.720983603629454,5.751237260627476,0.12410473823547363,0.09341073036193848,0.2175154685974121,pair_011_img1_pair_011_img2,SIFT
4620,6464,1369,29.63203463203463,241.48336895092115,5.966259623588388,5.916043901530643,0.17578625679016113,0.2982902526855469,0.474076509475708,pair_012_img1_pair_012_img2,SIFT
1981,1670,716,42.874251497005986,159.53125700071539,4.902204373042945,4.66529057436272,0.11914229393005371,0.03365492820739746,0.15279722213745117,pair_013_img1_pair_013_img2,SIFT
5708,7138,1749,30.641205325858444,254.3427356133262,5.673041544562254,5.866819809150146,0.1489717960357666,0.41303277015686035,0.562004566192627,pair_014_img1_pair_014_img2,SIFT
7142,5932,1969,33.192852326365475,252.14206024061428,5.887287123668573,5.861820626406851,0.18693995475769043,0.4244503974914551,0.6113903522491455,pair_015_img1_pair_015_img2,SIFT
4731,4609,1532,33.23931438489911,246.60100859201296,5.648184860564013,5.522425540663931,0.14644122123718262,0.22223496437072754,0.36867618560791016,pair_016_img1_pair_016_img2,SIFT
2838,3913,997,35.130373502466526,221.41684059058892,5.493988174694309,5.581600734205318,0.10918569564819336,0.1296846866607666,0.23887038230895996,pair_017_img1_pair_017_img2,SIFT
5810,6269,1494,25.71428571428571,251.2258893923268,5.92805160408617,5.962265198994275,0.1768803596496582,0.37060093879699707,0.5474812984466553,pair_018_img1_pair_018_img2,SIFT
4455,5104,1275,28.619528619528616,187.0243547447055,5.590725433538499,5.613811670731197,0.1293468475341797,0.23859143257141113,0.3679382801055908,pair_019_img1_pair_019_img2,SIFT
6750,6358,2229,35.05819440075496,237.4660006831611,5.939747702820969,5.890880041319332,0.18226003646850586,0.43550896644592285,0.6177690029144287,pair_020_img1_pair_020_img2,SIFT
5265,6082,1728,32.82051282051282,170.64370373222562,5.740335803688692,5.765855678220429,0.17271971702575684,0.31777286529541016,0.490492582321167,pair_021_img1_pair_021_img2,SIFT
5454,5159,1769,34.28959100600892,237.3158889886954,5.760676664364763,5.5349580731811825,0.13197731971740723,0.28784656524658203,0.41982388496398926,pair_022_img1_pair_022_img2,SIFT
5213,2632,960,36.474164133738604,262.37122323115665,5.523670738642697,5.266616752640991,0.14899134635925293,0.12478971481323242,0.27378106117248535,pair_023_img1_pair_023_img2,SIFT
1001,1338,317,31.668331668331668,172.22254173086267,5.302898679465474,5.172341311376612,0.12589073181152344,0.014185190200805664,0.1400759220123291,pair_024_img1_pair_024_img2,SIFT
1908,1601,536,33.47907557776389,197.01391344639794,5.895987643779508,5.638877237569135,0.09865212440490723,0.031873226165771484,0.1305253505706787,pair_025_img1_pair_025_img2,SIFT
2385,2394,645,27.044025157232703,0.7852067264475564,5.993224334518708,5.99114359591444,0.6014065742492676,0.10094714164733887,0.7023537158966064,pair_001_img1_pair_001_img2,SuperPoint
2657,2345,401,17.100213219616204,0.7891250270560495,5.9911113752148,5.989436443852457,0.6697893142700195,0.11435270309448242,0.784142017364502,pair_002_img1_pair_002_img2,SuperPoint
2717,2621,578,22.05265165967188,0.6490867734986605,5.985093945720606,5.987526580716691,0.6291940212249756,0.126861572265625,0.7560555934906006,pair_003_img1_pair_003_img2,SuperPoint
2666,2668,816,30.607651912978245,0.5704549008286467,5.996080687652172,5.994585141355949,0.6211426258087158,0.12435054779052734,0.7454931735992432,pair_004_img1_pair_004_img2,SuperPoint
