Method,num_features1_mean,num_features1_std,num_features1_min,num_features1_max,num_features1_median,num_features2_mean,num_features2_std,num_features2_min,num_features2_max,num_features2_median,num_matches_mean,num_matches_std,num_matches_min,num_matches_max,num_matches_median,matching_efficiency_mean,matching_efficiency_std,matching_efficiency_min,matching_efficiency_max,matching_efficiency_median,avg_matching_distance_mean,avg_matching_distance_std,avg_matching_distance_min,avg_matching_distance_max,avg_matching_distance_median,spatial_entropy1_mean,spatial_entropy1_std,spatial_entropy1_min,spatial_entropy1_max,spatial_entropy1_median,spatial_entropy2_mean,spatial_entropy2_std,spatial_entropy2_min,spatial_entropy2_max,spatial_entropy2_median,detection_time_mean,detection_time_std,detection_time_min,detection_time_max,detection_time_median,matching_time_mean,matching_time_std,matching_time_min,matching_time_max,matching_time_median,total_time_mean,total_time_std,total_time_min,total_time_max,total_time_median
SIFT,865.72,510.37864532129475,289,2489,761.0,908.32,542.653091394493,351,2317,728.0,335.96,194.13304304007602,105,838,257.0,41.4124481915663,8.31711888662645,33.247089262613194,68.54395604395604,37.97054009819967,215.65064387653302,39.84670486076747,101.85321193157074,273.16021547479147,222.68885934612652,4.9996002829201425,0.3279631182657069,4.39839442790484,5.516263839368521,5.03795119424462,5.02881745217201,0.37182066861187335,4.127307725395155,5.6053770083693975,5.103873233766842,0.0995230484008789,0.01251442785076853,0.08286333084106445,0.12335062026977539,0.09954428672790527,0.010771141052246094,0.013042769801233676,0.0015316009521484375,0.05985116958618164,0.0054514408111572266,0.110294189453125,0.0205205787647056,0.08458304405212402,0.18208932876586914,0.11149835586547852
SuperPoint,2447.76,113.34735285837071,2305,2753,2410.0,2455.88,112.64504250076875,2336,2793,2425.0,1017.48,224.55291046878017,695,1720,983.0,41.93186848463094,9.526776449911011,29.75171232876712,71.78631051752922,40.54168429961913,0.6063186026397918,0.1262117456732826,0.22588198243243549,0.7985756341073152,0.6185911632306902,5.988318777180886,0.0048450721775108235,5.974836430067305,5.993877190309084,5.989964902995028,5.988324426269838,0.004844130872735988,5.971618429074824,5.993421852328254,5.989984134622882,0.683395471572876,0.03675419748533395,0.6395108699798584,0.825336217880249,0.6824779510498047,0.1146616554260254,0.010660834351698378,0.10217857360839844,0.15121030807495117,0.11082077026367188,0.7980571269989014,0.03763788361405208,0.7490379810333252,0.9348268508911133,0.792067289352417
D2-Net,2000.0,0.0,2000,2000,2000.0,2000.0,0.0,2000,2000,2000.0,741.56,333.92574983070716,251,1619,667.0,37.078,16.696287491535358,12.55,80.95,33.35,0.0010628489848349394,0.0003770671462938773,0.0003420043087721801,0.001991554374296651,0.0010560611394584904,5.965100926774215,0.021020224671448057,5.890517502090833,5.987173151875969,5.970514396955115,5.960469612224846,0.02851695818310892,5.866816431969952,5.98739330415176,5.9687650657155995,1.4113793468475342,0.043817983379793424,1.3357658386230469,1.5591216087341309,1.4056918621063232,0.15820225715637207,0.0034920849211541186,0.15086126327514648,0.16883254051208496,0.15744471549987793,1.5695816040039063,0.04637992244639131,1.4933228492736816,1.7279541492462158,1.5661115646362305
