Method,num_features1_mean,num_features1_std,num_features1_min,num_features1_max,num_features1_median,num_features2_mean,num_features2_std,num_features2_min,num_features2_max,num_features2_median,num_matches_mean,num_matches_std,num_matches_min,num_matches_max,num_matches_median,matching_efficiency_mean,matching_efficiency_std,matching_efficiency_min,matching_efficiency_max,matching_efficiency_median,avg_matching_distance_mean,avg_matching_distance_std,avg_matching_distance_min,avg_matching_distance_max,avg_matching_distance_median,spatial_entropy1_mean,spatial_entropy1_std,spatial_entropy1_min,spatial_entropy1_max,spatial_entropy1_median,spatial_entropy2_mean,spatial_entropy2_std,spatial_entropy2_min,spatial_entropy2_max,spatial_entropy2_median,detection_time_mean,detection_time_std,detection_time_min,detection_time_max,detection_time_median,matching_time_mean,matching_time_std,matching_time_min,matching_time_max,matching_time_median,total_time_mean,total_time_std,total_time_min,total_time_max,total_time_median
SIFT,2137.88,889.147156324531,755,4248,1992.0,2206.6,755.3847231709151,1283,4033,1974.0,752.56,353.88191024690707,273,1498,708.0,36.88516095456715,6.281328539419693,29.253731343283583,56.91514299109236,35.632582322357024,240.4020248349889,38.83684347875784,133.614807286019,291.01335917007907,247.39857219045336,5.625050594364671,0.24360139827802804,4.9496327258698845,5.910919142050653,5.67568094875588,5.664711589431131,0.16002258224669172,5.290434789122361,5.947526403443759,5.679124315416547,0.11705120086669922,0.01811827957282671,0.0885627269744873,0.16387367248535156,0.11908149719238281,0.05287261962890625,0.03922746168240939,0.008510351181030273,0.17447376251220703,0.04702877998352051,0.16992382049560548,0.053583733581515414,0.10114836692810059,0.3036637306213379,0.15289878845214844
SuperPoint,2485.64,69.0077560858198,2362,2667,2482.0,2498.2,80.29146903625565,2335,2644,2502.0,843.4,159.7778457734363,598,1256,796.0,34.275314155553886,6.32285784527002,24.269480519480517,49.60505529225908,33.27967806841046,0.7220661425616567,0.10108493281997033,0.5093830661073782,0.8705128799532763,0.7439267365284034,5.9891133461350945,0.0069438241474187885,5.96550944043613,5.994993849955629,5.990832771154083,5.988371511468059,0.006075650729697686,5.974369302581321,5.994422898865681,5.991279816713196,0.6737994194030762,0.029179596876852256,0.6156883239746094,0.7545003890991211,0.6807427406311035,0.11500616073608398,0.006804810290069689,0.10265851020812988,0.1282973289489746,0.11593174934387207,0.7888055801391601,0.03157532442006389,0.7259511947631836,0.8682756423950195,0.7935330867767334
D2-Net,2000.0,0.0,2000,2000,2000.0,2000.0,0.0,2000,2000,2000.0,328.2,164.20621181916354,177,801,268.0,16.410000000000004,8.210310590958176,8.85,40.050000000000004,13.4,0.0020527901997058136,0.00030537580715531045,0.0013393606064271118,0.0026805423792632325,0.0021393271062537756,5.986787926552446,0.005205539552475982,5.9647569212671065,5.99316453463103,5.987518539515088,5.987614077325788,0.0030067749262272913,5.981503074309415,5.993647515140513,5.987375785866699,1.3476077175140382,0.03236924817947655,1.297051191329956,1.4313912391662598,1.3555700778961182,0.15654170989990235,0.004987892301924661,0.14288592338562012,0.1665956974029541,0.15802836418151855,1.5041494274139404,0.034454583651837706,1.4470171928405762,1.5909123420715332,1.510005235671997
