num_features1,num_features2,num_matches,matching_efficiency,avg_matching_distance,spatial_entropy1,spatial_entropy2,detection_time,matching_time,total_time,pair_name,method
2401,1974,720,36.474164133738604,248.68985403908624,5.905094808149178,5.76197835153826,0.10180878639221191,0.04800677299499512,0.14981555938720703,pair_001_img1_pair_001_img2,SIFT
1387,1392,433,31.218457101658252,273.5841769951871,5.536524996750752,5.544801551123838,0.10552024841308594,0.02113938331604004,0.12665963172912598,pair_002_img1_pair_002_img2,SIFT
1992,1930,708,36.68393782383419,277.80242863886775,5.760245796808995,5.290434789122361,0.12187862396240234,0.03737354278564453,0.15925216674804688,pair_003_img1_pair_003_img2,SIFT
1820,2238,570,31.318681318681318,273.25235138608696,5.667052336719642,5.729579591596733,0.10834240913391113,0.038249969482421875,0.146592378616333,pair_004_img1_pair_004_img2,SIFT
2488,2394,893,37.301587301587304,198.62817713020897,5.799452974305657,5.748356232653591,0.12501168251037598,0.05689549446105957,0.18190717697143555,pair_005_img1_pair_005_img2,SIFT
1881,1814,587,32.35942668136714,215.4572045815255,5.797868571927642,5.85164839606984,0.11908149719238281,0.033817291259765625,0.15289878845214844,pair_006_img1_pair_006_img2,SIFT
1701,2951,708,41.622574955908284,287.908803002309,5.363631750897478,5.576507514340467,0.12575173377990723,0.05073857307434082,0.17649030685424805,pair_007_img1_pair_007_img2,SIFT
1435,1340,392,29.253731343283583,276.15812988670507,5.495646304106356,5.688999335393793,0.12204360961914062,0.020316123962402344,0.14235973358154297,pair_008_img1_pair_008_img2,SIFT
3693,3324,1326,39.891696750902526,209.48319824932207,5.907379904889487,5.833816999591109,0.13887286186218262,0.11301279067993164,0.25188565254211426,pair_009_img1_pair_009_img2,SIFT
2885,3606,1028,35.632582322357024,268.23998270888274,5.733139249124197,5.927662574163735,0.16387367248535156,0.09674668312072754,0.2606203556060791,pair_010_img1_pair_010_img2,SIFT
2881,2368,893,37.71114864864865,254.54071516953283,5.678618954323569,5.613637971946596,0.13507080078125,0.06350374221801758,0.19857454299926758,pair_011_img1_pair_011_img2,SIFT
1140,1736,364,31.929824561403507,271.4974080180074,5.432620692713437,5.56120701261101,0.11710619926452637,0.021448612213134766,0.13855481147766113,pair_012_img1_pair_012_img2,SIFT
4248,4033,1304,32.33325068187454,285.96513903799234,5.869476525072647,5.947526403443759,0.12918996810913086,0.17447376251220703,0.3036637306213379,pair_013_img1_pair_013_img2,SIFT
894,1396,273,30.536912751677853,231.63196308010228,5.446320065729482,5.630743868910996,0.10509872436523438,0.014682769775390625,0.119781494140625,pair_014_img1_pair_014_img2,SIFT
1349,1604,419,31.060044477390658,248.8327950634649,5.800257126468177,5.740618278048218,0.09049439430236816,0.021665573120117188,0.11215996742248535,pair_015_img1_pair_015_img2,SIFT
1538,1646,518,33.68010403120936,241.18673957913077,5.516330465308912,5.531747798123754,0.09783267974853516,0.02377605438232422,0.12160873413085938,pair_016_img1_pair_016_img2,SIFT
2163,2233,690,31.900138696255205,237.75092050856438,5.7873438562134805,5.781451370297407,0.10469555854797363,0.05217623710632324,0.15687179565429688,pair_017_img1_pair_017_img2,SIFT
2372,1937,748,38.61641713990707,222.53762105441987,5.67568094875588,5.63246354139068,0.10479187965393066,0.04702877998352051,0.15182065963745117,pair_018_img1_pair_018_img2,SIFT
